,title,date,days,location,instructor
,Orientation,Sep 6,0.5,371,Debra Williams 
,Study Skills,Sep 6,0.5,371,Marlene Delanghe
,Team Building,Sep 7,1,371,Marlene Delange
,A+,Sep 8,1,371,Orrett Morgan
,A+,Sep 9,1,371,Orrett Morgan
,A+,Sep 12,1,371,Orrett Morgan
,A+,Sep 13,1,371,Orrett Morgan
,SELF STUDY,Sep 14,1, , 
,Conflict Resolution,Sep 15,1,870,Marlene Delange
,A+,Sep 16,1,371,Orrett Morgan
,A+,Sep 19,1,371,Orrett Morgan
,A+,Sep 20,1,371,Orrett Morgan
,SELF STUDY,Sep 21,1, , 
,SELF STUDY,Sep 22,1, , 
,A+,Sep 23,1,371,Orrett Morgan
,A+,Sep 26,1,371,Orrett Morgan
,A+,Sep 27,1,371,Orrett Morgan
,SELF STUDY,Sep 28,1, , 
,SELF STUDY,Sep 29,1, , 
,Net +,Sep 30,1,371,Orrett Morgan
,Net +,Oct 3,1,371,Orrett Morgan
,Net +,Oct 4,1,371,Orrett Morgan
,SELF STUDY,Oct 5,1, , 
,SELF STUDY,Oct 6,1, , 
,Recommended: CompTIA A+ Essentials Exam,Oct 7,1, , 
,"Thanksgiving, BCIT Closed","*Monday, Oct 10", ,Closed, 
,Net +,Oct 11,1,371,Orrett Morgan
,Net +,Oct 12,1,371,Orrett Morgan
,SELF STUDY,Oct 13,1, , 
,Recommended: CompTIA A+ Practical Applications Exam,Oct 14,1, , 
,Net +,Oct 17,1,371,Orrett Morgan
,Net +,Oct 18,1,371,Orrett Morgan
,SELF STUDY,Oct 19,1, , 
,SELF STUDY,Oct 20,1, , 
,Net+,Oct 21,1,371,Orrett Morgan
,Net +,Oct 24,1,371,Orrett Morgan
,Net +,Oct 25,1,371,Orrett Morgan
,Presentaion Skills,Oct 26,1,381,Marlene Delanghe
,SELF STUDY,Oct 27,1, , 
,SELF STUDY,Oct 28,1, , 
,Recommended: CompTIA Network+ Certification Exam ,Oct 31,1, , 
,MS Word,Nov 1,1,371,Kim Huie
,MS Powerpoint,Nov 2,1,371,Kim Huie
,MS Excel,Nov 3,1,371,Kim Huie
,MS Excel,Nov 4,1,371,Kim Huie
,UBC Orientation Windows 7,Nov 7,1,UBC,Sarah Ashlie
,Windows 7,Nov 8,1,UBC,Sarah Ashlie
,Windows 7,Nov 9,1,UBC,Sarah Ashlie
,Windows 7,Nov 10 ,1,UBC,Sarah Ashlie
,"Remembrance Day, UBC Closed","*Friday, Nov 11",1,Closed, 
,Windows 7,Nov 14,1,UBC,Sarah Ashlie
,Windows 7,Nov 15,1,UBC,Sarah Ashlie
,Windows 7,Nov 16,1,UBC,Sarah Ashlie
,Server 2008,Nov 17,1,UBC,Sarah Ashlie
,Server 2008,Nov 18,1,UBC,Sarah Ashlie
,Server 2008,Nov 21,1,UBC,Sarah Ashlie
,Server 2008,Nov 22,1,UBC,Sarah Ashlie
,Server 2008,Nov 23 ,1,UBC,Sarah Ashlie
